Date,Total.ST,Total.ST.min,Social.ST,Social.ST.min,Pickups,Pickup.1st
12.26,10h57m,657m,1h7m,67m,37,6:40
12.27,7h30m,450m,0h45m,45m,46,6:40
12.28,7h9m,429m,2h51m,171m,208,6:40
12.29,5h13m,313m,2h02m,122m,144,6:40
12.3,8h17m,497m,2h14m,134m,178,8:00
12.31,9h34m,574m,2h32m,152m,156,8:00
1.1,9h27m,567m,1h56m,116m,137,8:30
1.2,8h24m,504m,1h43m,103m,49,8:10
1.3,6h53m,413m,1h10m,70m,67,8:00
1.4,7h16m,436m,1h40m,100m,66,7:48
1.5,7h2m,422m,2h9m,129m,95,6:40
1.6,7h6m,426m,0h54m,54m,75,6:40
1.7,5h36m,336m,1h39m,99m,76,6:40
1.8,8h36m,516m,0h43m,43m,81,6:40
1.9,7h50m,470m,0h34m,34m,37,6:40
1.1,6h1m,361m,1h14m,74m,76,6:40
1.11,5h,300m,2h6m,126m,125,6:40
1.12,6h49m,409m,1h13m,73m,83,6:40
1.13,7h11m,431m,2h42m,162m,101,7:21
1.14,7h5m,425m,1h51m,111m,62,6:40
1.15,5h55m,355m,1h31m,91m,54,6:40
1.16,7h3m,423m,3h40m,220m,89,6:40
1.17,3h24m,204m,1h18m,78m,66,6:40
1.18,2h30m,150m,1h,60m,54,7:00
1.19,3h54m,234m,1h58m,118m,85,6:40
1.2,3h28m,208m,1h24m,84m,75,6:40
1.21,5h24m,324m,1h25m,85m,90,6:40
1.22,4h25m,265m,0h44m,44m,70,6:40
1.23,5h37m,337m,2h38m,158m,83,6:40
1.24,3h49m,229m,0h12m,12m,54,6:40
1.25,4h56m,296m,0h12m,12m,64,6:40
1.26,3h54m,234m,0h1m,1m,55,6:40
1.27,3h33m,213m,0h6m,6m,53,6:40
1.28,4h49m,289m,0h12m,12m,27,6:40
1.29,4h45m,285m,0h3m,3m,31,6:40
1.3,3h,180m,0h11m,11m,48,6:40
1.31,4h37m,277m,2h27m,147m,115,6:40
2.1,3h40m,220m,2h11m,131m,58,6:40
2.2,4h42m,282m,1h5m,65m,40,6:40
2.3,4h24m,264m,1h57m,117m,55,6:40
2.4,6h54m,474m,1h49m,109m,71,6:03
2.5,7h10m,430m,4h17m,257m ,71,6:40
2.6,4h41m,281m,0h55m,55m,60,6:40
2.7,4h22m,262m,1h3m,63m,95,6:40
2.8,4h52m,292m,1h48m,108m,64,6:40
2.9,5h22m,322m,3h13m,193m,105,6:40
2.10 ,4h18m,258m,2h20m,140m,71,6:32
2.11,2h56m,176m,1H4m,64m,103,6:17
2.12,4h17m,257m,2h11m,131m,63,6:40
2.13,3h47m,227m,1h35m,95m,42,6:40
2.14,5h13m,313m,1h42m,102m,56,6:40
2.15,4h13m,253m,1h33m,93m,55,6:40
2.16,4h59m,299m,1h23m,83m,82,6:40
2.17,3h32m,212m,1h48m,108m,87,6:40
2.18,6h46m,406m,2h11m,131m,82,6:40
2.19,4h20m,260m,1h47m,107m,80,6:40
2.20 ,5h5m,305m,0h47m,47m,68,6:40
2.21,3h25m,205m,1h41m,101m,60,6:40
2.22,5h32m,332m,2h24m,144m,98,6:40
2.23,6h42m,402m,1h46m,106m,84,6:49
